cap,beta,s,rho0,weights,d_sel,slope,n_eq,ap_sel,W_sel,W_nbs,poa,sigma_star
35,2.0,0.25,0.97,grid-heavy,0.030000000000000027,-0.23280000020498012,1,0.0,0.5752454749111751,0.7334510908401217,1.2750227908413805,0.14394425662655636
35,2.0,0.4,0.9,equal,0.10000000000000009,-0.4500000000851045,1,0.0,0.4596321078655374,0.7446987324298536,1.6202060728266416,0.8682789391803815
35,2.0,0.4,0.9,driver-heavy,0.10000000000000009,-0.4500000000851045,1,0.0,0.5019709930132933,0.802714346152823,1.5991249640426242,0.8682789391803815
35,2.0,0.4,0.9,grid-heavy,0.10000000000000009,-0.4500000000851045,1,0.0,0.48765738069554715,0.7334510908401217,1.5040295089843576,0.8682789391803815
35,2.0,0.4,0.95,equal,0.050000000000000044,-0.23750000007760616,1,0.0,0.5108306626962487,0.7446987324298536,1.4578191694664737,0.46939317844829376
35,2.0,0.4,0.95,driver-heavy,0.050000000000000044,-0.23750000007760616,1,0.0,0.566551789873244,0.802714346152823,1.416841956023855,0.46939317844829376
35,2.0,0.4,0.95,grid-heavy,0.050000000000000044,-0.23750000007760616,1,0.0,0.5212655364099572,0.7334510908401217,1.4070584752092414,0.46939317844829376
35,2.0,0.4,0.97,equal,0.03000000000000025,-0.14550000004831531,1,0.0,0.5617494496002183,0.7446987324298536,1.3256777251136342,0.21672929418076045
35,2.0,0.4,0.97,driver-heavy,0.03000000000000025,-0.14550000004831531,1,0.0,0.6271898822009462,0.802714346152823,1.2798585706388041,0.21672929418076045
35,2.0,0.4,0.97,grid-heavy,0.03000000000000025,-0.14550000004831531,1,0.0,0.5752454749111742,0.7334510908401217,1.2750227908413825,0.21672929418076045
35,2.0,0.6,0.9,equal,0.10000000000000009,-0.30000000001972893,1,0.0,0.4596321078655374,0.7446987324298536,1.6202060728266416,1.221100478419131
35,2.0,0.6,0.9,driver-heavy,0.10000000000000009,-0.30000000001972893,1,0.0,0.5019709930132933,0.802714346152823,1.5991249640426242,1.221100478419131
35,2.0,0.6,0.9,grid-heavy,0.10000000000000009,-0.30000000001972893,1,0.0,0.48765738069554715,0.7334510908401217,1.5040295089843576,1.221100478419131
