cluster,sessionID
2,1_1_191_808_2018-11-08 15:59:39.539770
1,1_1_179_813_2018-11-08 16:01:43.286963
1,1_1_191_792_2018-11-08 16:03:58.751152
0,1_1_191_804_2018-11-08 16:04:58.891480
1,1_1_191_786_2018-11-08 16:13:07.330768
1,1_1_191_784_2018-11-08 16:25:18.077032
1,1_1_193_825_2018-11-08 17:37:26.814671
0,1_1_193_820_2018-11-08 19:06:47.011413
0,1_1_191_793_2018-11-08 19:28:21.685609
0,1_1_179_799_2018-11-08 19:40:21.545696
2,1_1_179_788_2018-11-08 19:53:20.058015
2,1_1_191_808_2018-11-08 20:32:28.939824
0,1_1_194_821_2018-11-08 22:20:17.682899
2,1_1_193_827_2018-11-08 22:31:13.485889
2,1_1_191_805_2018-11-08 22:35:32.998422
2,1_1_178_823_2018-11-08 23:45:06.232626
2,1_1_191_778_2018-11-08 23:49:01.561193
2,1_1_193_819_2018-11-09 00:25:08.512264
2,1_1_179_787_2018-11-09 00:32:39.379015
2,1_1_179_800_2018-11-09 00:37:15.549338
1,1_1_178_823_2018-11-09 13:47:52.626168
1,1_1_194_826_2018-11-09 14:07:41.483184
1,1_1_194_821_2018-11-09 14:13:13.292940
0,1_1_194_822_2018-11-09 14:16:35.595464
1,1_1_191_807_2018-11-09 14:19:30.581997
1,1_1_193_819_2018-11-09 14:29:53.563143
0,1_1_179_815_2018-11-09 14:53:31.473677
1,1_1_193_820_2018-11-09 15:18:05.240912
0,1_1_179_813_2018-11-09 15:31:54.110189
1,1_1_179_810_2018-11-09 15:33:34.167959
2,1_1_193_825_2018-11-09 15:37:54.259222
1,1_1_178_828_2018-11-09 15:59:24.879538
1,1_1_193_827_2018-11-09 16:07:55.214354
0,1_1_179_798_2018-11-09 16:29:33.392675
2,1_1_178_824_2018-11-09 16:45:02.935817
2,1_1_179_781_2018-11-09 16:45:35.410073
0,1_1_179_809_2018-11-09 17:14:08.952681
2,1_1_193_816_2018-11-09 17:23:29.406911
0,1_1_194_818_2018-11-09 18:35:20.699735
2,1_1_178_824_2018-11-09 18:39:47.305248
2,1_1_179_787_2018-11-09 19:35:07.570927
2,1_1_178_824_2018-11-09 20:06:33.032282
2,1_1_193_816_2018-11-09 20:43:48.432198
0,1_1_179_788_2018-11-09 20:51:59.759582
2,1_1_179_794_2018-11-09 21:20:19.818062
2,1_1_193_825_2018-11-09 21:54:14.510145
0,1_1_194_822_2018-11-09 21:55:56.843636
2,1_1_179_787_2018-11-09 22:06:54.632558
2,1_1_193_816_2018-11-09 23:18:09.058517
2,1_1_194_826_2018-11-09 23:59:11.069088
2,1_1_193_827_2018-11-10 00:32:55.185218
2,1_1_193_816_2018-11-10 00:57:19.604613
2,1_1_193_820_2018-11-10 20:00:37.917453
2,1_1_193_816_2018-11-11 20:07:52.237510
1,1_1_178_824_2018-11-12 13:21:04.317843
1,1_1_193_827_2018-11-12 13:50:54.681784
1,1_1_178_828_2018-11-12 13:54:01.262108
1,1_1_191_785_2018-11-12 13:56:45.771778
1,1_1_191_802_2018-11-12 13:56:49.394134
1,1_1_179_815_2018-11-12 14:00:26.773214
1,1_1_193_820_2018-11-12 14:10:44.992837
1,1_1_193_816_2018-11-12 14:12:40.693185
1,1_1_194_826_2018-11-12 14:20:12.333467
1,1_1_179_787_2018-11-12 14:27:43.685415
1,1_1_193_829_2018-11-12 14:36:15.721628
0,1_1_179_799_2018-11-12 14:40:09.490470
2,1_1_194_821_2018-11-12 14:41:26.717575
0,1_1_194_822_2018-11-12 14:41:48.211035
0,1_1_178_817_2018-11-12 14:46:04.099726
0,1_1_191_780_2018-11-12 14:49:05.797784
1,1_1_179_777_2018-11-12 14:52:03.096347
0,1_1_194_818_2018-11-12 14:53:43.134529
0,1_1_193_819_2018-11-12 14:55:55.904271
1,1_1_193_825_2018-11-12 14:57:56.938823
1,1_1_179_797_2018-11-12 14:58:51.564620
0,1_1_179_791_2018-11-12 15:03:12.454523
2,1_1_179_781_2018-11-12 15:05:59.735045
0,1_1_179_810_2018-11-12 15:06:39.835675
1,1_1_179_794_2018-11-12 15:08:34.423931
1,1_1_179_788_2018-11-12 15:11:16.812711
1,1_1_179_798_2018-11-12 15:14:37.646532
0,1_1_179_809_2018-11-12 15:16:17.796857
1,1_1_179_779_2018-11-12 15:20:33.877185
1,1_1_179_813_2018-11-12 15:20:58.815452
0,1_1_179_801_2018-11-12 15:21:16.597603
0,1_1_191_804_2018-11-12 15:21:41.168103
1,1_1_179_790_2018-11-12 15:25:01.100522
1,1_1_179_800_2018-11-12 15:29:05.348712
1,1_1_191_807_2018-11-12 15:31:23.578745
0,1_1_179_783_2018-11-12 15:31:29.663719
1,1_1_191_812_2018-11-12 15:36:28.159155
2,1_1_191_805_2018-11-12 15:37:32.481303
0,1_1_191_806_2018-11-12 15:48:00.074556
1,1_1_191_803_2018-11-12 15:50:47.918648
1,1_1_191_793_2018-11-12 15:54:25.845636
1,1_1_191_808_2018-11-12 15:54:49.108702
1,1_1_191_811_2018-11-12 16:00:59.314999
1,1_1_191_784_2018-11-12 16:07:36.938435
1,1_1_191_786_2018-11-12 16:12:41.396634
1,1_1_179_796_2018-11-12 16:13:47.255418
1,1_1_191_792_2018-11-12 16:40:29.862070
1,1_1_191_805_2018-11-12 18:07:09.231153
0,1_1_194_821_2018-11-12 18:13:11.513474
0,1_1_179_801_2018-11-12 18:40:40.603068
2,1_1_179_781_2018-11-12 18:50:13.181868
0,1_1_178_817_2018-11-12 19:39:29.617162
2,1_1_179_799_2018-11-12 20:33:34.409705
2,1_1_179_781_2018-11-12 20:41:56.264012
2,1_1_179_783_2018-11-12 21:32:00.222954
2,1_1_179_777_2018-11-12 22:34:29.527460
2,1_1_179_788_2018-11-13 00:20:01.537997
2,1_1_194_822_2018-11-13 00:32:07.438405
2,1_1_193_819_2018-11-13 00:51:57.665996
2,1_1_178_823_2018-11-13 03:07:48.311244
1,1_1_193_827_2018-11-13 13:16:55.263394
1,1_1_194_821_2018-11-13 13:41:24.651936
1,1_1_178_823_2018-11-13 13:43:57.782375
0,1_1_179_790_2018-11-13 13:57:16.233472
1,1_1_191_789_2018-11-13 14:02:58.350296
1,1_1_178_828_2018-11-13 14:11:09.562014
1,1_1_193_820_2018-11-13 14:13:10.311224
1,1_1_193_816_2018-11-13 14:17:08.342180
1,1_1_191_780_2018-11-13 14:18:36.821720
0,1_1_194_826_2018-11-13 14:23:13.123062
1,1_1_193_819_2018-11-13 14:27:32.942116
0,1_1_191_802_2018-11-13 14:33:55.682844
1,1_1_179_791_2018-11-13 14:41:11.832319
0,1_1_179_810_2018-11-13 14:45:14.530082
1,1_1_178_824_2018-11-13 14:46:22.279926
1,1_1_191_785_2018-11-13 14:47:43.292148
0,1_1_179_787_2018-11-13 14:52:20.821481
0,1_1_194_822_2018-11-13 14:57:10.120918
1,1_1_179_797_2018-11-13 15:01:21.992296
0,1_1_194_818_2018-11-13 15:03:41.761189
1,1_1_179_781_2018-11-13 15:10:15.218499
1,1_1_179_799_2018-11-13 15:12:32.382633
1,1_1_179_794_2018-11-13 15:16:18.990600
1,1_1_179_788_2018-11-13 15:21:04.373281
1,1_1_179_815_2018-11-13 15:22:48.200290
